from_area,from_name,to_area,to_name,period,trips
9021302000523000,Valborg,9021302000189000,Jomala skola,am,9.2067
9021302000662000,"Centrum, Nygatan",9021302000312000,Maxinge,am,4.822
9021302000259000,Källarvägen,9021302000308000,"Mariehamn, Bussplan",am,3.9986
9021302000087000,Emkarby,9021302000189000,Jomala skola,am,3.5935
9021302000662000,"Centrum, Nygatan",9021302000445000,Strandnäs skola södra,am,3.4267
9021302000590000,Önningeby vsk.,9021302000308000,"Mariehamn, Bussplan",am,3.009
9021302000535000,Vessingsboda,9021302000189000,Jomala skola,am,2.8005
9021302000261000,Källbo skola,9021302000121000,Godby högstadium,am,2.7724
9021302000622000,Solberget,9021302000445000,Strandnäs skola södra,am,2.6327
9021302000071000,Doppingvägen,9021302000662000,"Centrum, Nygatan",am,2.5319
9021302000021000,Bjärström,9021302000189000,Jomala skola,am,2.4823
9021302000457000,Svartsmara,9021302000261000,Källbo skola,am,2.4258
9021302000209000,Kattby södra,9021302000668000,Jomala skola södra,am,2.3554
9021302000457000,Svartsmara,9021302000121000,Godby högstadium,am,2.2452
9021302000115000,GE-huset,9021302000308000,"Mariehamn, Bussplan",am,2.1645
9021302000362000,Prästgården,9021302000189000,Jomala skola,am,2.1323
9021302000261000,Källbo skola,9021302000123000,Godbyhallen vsk.,am,2.1235
9021302000639000,Hindersbölevägen,9021302000662000,"Centrum, Nygatan",am,2.0625
9021302000255000,Kvarnbo,9021302000121000,Godby högstadium,am,1.9966
9021302000308000,"Mariehamn, Bussplan",9021302000123000,Godbyhallen vsk.,am,1.9775
9021302000255000,Kvarnbo,9021302000261000,Källbo skola,am,1.9097
9021302000029000,Björkuddsvägen vsk.,9021302000308000,"Mariehamn, Bussplan",am,1.907
9021302000220000,Knutsboda vsk.,9021302000189000,Jomala skola,am,1.9019
9021302000557000,Västeränga,9021302000189000,Jomala skola,am,1.8623
9021302000664000,Möckelö Strand,9021302000662000,"Centrum, Nygatan",am,1.7317
9021302000261000,Källbo skola,9021302000125000,Godbyvägen 1285,am,1.7074
9021302000596000,Östanåkersvägen vsk.,9021302000189000,Jomala skola,am,1.7061
9021302000308000,"Mariehamn, Bussplan",9021302000189000,Jomala skola,am,1.5884
9021302000523000,Valborg,9021302000308000,"Mariehamn, Bussplan",am,1.5858
9021302000209000,Kattby södra,9021302000189000,Jomala skola,am,1.5597
9021302000043000,Breidablick,9021302000261000,Källbo skola,am,1.5171
9021302000240000,Kullavägen vsk.,9021302000189000,Jomala skola,am,1.4863
9021302000193000,Järsö,9021302000662000,"Centrum, Nygatan",am,1.4631
9021302000486000,Södra Flaka,9021302000189000,Jomala skola,am,1.4573
9021302000647000,Lotsgatan,9021302000662000,"Centrum, Nygatan",am,1.4427
9021302000334000,Nåtö by vsk.,9021302000662000,"Centrum, Nygatan",am,1.4268
9021302000089000,Emkarby daghem,9021302000189000,Jomala skola,am,1.4254
9021302000429000,Torget,9021302000308000,"Mariehamn, Bussplan",am,1.4026
9021302000340000,Odalgården,9021302000308000,"Mariehamn, Bussplan",am,1.3974
9021302000630000,Kalmarnäs vändplan,9021302000445000,Strandnäs skola södra,am,1.3951
9021302000009000,Bamböle,9021302000261000,Källbo skola,am,1.3945
9021302000508000,Torrbolstad,9021302000121000,Godby högstadium,am,1.3929
9021302000043000,Breidablick,9021302000121000,Godby högstadium,am,1.3808
9021302000193000,Järsö,9021302000608000,Övernäs skola,am,1.333
9021302000207000,Kattby,9021302000668000,Jomala skola södra,am,1.3305
9021302000009000,Bamböle,9021302000121000,Godby högstadium,am,1.3286
9021302000308000,"Mariehamn, Bussplan",9021302000261000,Källbo skola,am,1.3263
9021302000334000,Nåtö by vsk.,9021302000608000,Övernäs skola,am,1.3077
9021302000017000,Bergö/Idskärsvägen vsk.,9021302000662000,"Centrum, Nygatan",am,1.3066
9021302000275000,Lemlands kyrka,9021302000189000,Jomala skola,am,1.2973
9021302000508000,Torrbolstad,9021302000261000,Källbo skola,am,1.2418
9021302000251000,Kungsö vsk.,9021302000668000,Jomala skola södra,am,1.2369
9021302000017000,Bergö/Idskärsvägen vsk.,9021302000608000,Övernäs skola,am,1.1962
9021302000543000,Vikingahallen,9021302000308000,"Mariehamn, Bussplan",am,1.1728
9021302000640000,Doktorsvägen 1B/1C,9021302000662000,"Centrum, Nygatan",am,1.168
9021302000261000,Källbo skola,9021302000308000,"Mariehamn, Bussplan",am,1.1594
9021302000129000,Gottby by,9021302000668000,Jomala skola södra,am,1.1574
9021302000214000,Killingholm,9021302000121000,Godby högstadium,am,1.1361
9021302000492000,Tekniska verken,9021302000308000,"Mariehamn, Bussplan",am,1.1165
9021302000622000,Solberget,9021302000662000,"Centrum, Nygatan",am,1.0784
9021302000646000,Ytternäs skola,9021302000662000,"Centrum, Nygatan",am,1.0773
9021302000097000,Skrakvägen,9021302000662000,"Centrum, Nygatan",am,1.0708
9021302000214000,Killingholm,9021302000261000,Källbo skola,am,1.0389
9021302000107000,Frebbenby,9021302000668000,Jomala skola södra,am,1.0164
9021302000421000,Solberget södra,9021302000445000,Strandnäs skola södra,am,1.0051
9021302000590000,Önningeby vsk.,9021302000189000,Jomala skola,am,1.0017
9021302000324000,Nabben,9021302000662000,"Centrum, Nygatan",am,0.9806
9021302000157000,Haraldsby,9021302000121000,Godby högstadium,am,0.9553
9021302000386000,Sandmovägen vsk.,9021302000435000,Storby,am,0.9384
9021302000630000,Kalmarnäs vändplan,9021302000308000,"Mariehamn, Bussplan",am,0.9375
9021302000439000,Strandnäs,9021302000308000,"Mariehamn, Bussplan",am,0.9353
9021302000137000,Granö vändplan,9021302000662000,"Centrum, Nygatan",am,0.9239
9021302000157000,Haraldsby,9021302000261000,Källbo skola,am,0.9136
9021302000308000,"Mariehamn, Bussplan",9021302000668000,Jomala skola södra,am,0.9011
9021302000449000,Strömsby vsk.,9021302000548000,Vårdö skola,am,0.8963
9021302000648000,Baltichallen,9021302000662000,"Centrum, Nygatan",am,0.8908
9021302000209000,Kattby södra,9021302000308000,"Mariehamn, Bussplan",am,0.8902
9021302000207000,Kattby,9021302000189000,Jomala skola,am,0.881
9021302000292000,Lönnhagsvägen,9021302000308000,"Mariehamn, Bussplan",am,0.8493
9021302000137000,Granö vändplan,9021302000608000,Övernäs skola,am,0.8486
9021302000251000,Kungsö vsk.,9021302000308000,"Mariehamn, Bussplan",am,0.8335
9021302000306000,Mariavägen vsk.,9021302000668000,Jomala skola södra,am,0.8323
9021302000396000,Sjukhuset,9021302000308000,"Mariehamn, Bussplan",am,0.8287
9021302000332000,Nåtö biologiska,9021302000662000,"Centrum, Nygatan",am,0.8165
9021302000308000,"Mariehamn, Bussplan",9021302000121000,Godby högstadium,am,0.8104
9021302000408000,Skolsvängen vsk.,9021302000189000,Jomala skola,am,0.8075
9021302000643000,Örtvägen,9021302000662000,"Centrum, Nygatan",am,0.8073
9021302000251000,Kungsö vsk.,9021302000189000,Jomala skola,am,0.7939
9021302000193000,Järsö,9021302000659000,Norragatan,am,0.7939
9021302000334000,Nåtö by vsk.,9021302000659000,Norragatan,am,0.7786
9021302000255000,Kvarnbo,9021302000123000,Godbyhallen vsk.,am,0.7592
9021302000129000,Gottby by,9021302000189000,Jomala skola,am,0.7505
9021302000133000,Granholm,9021302000662000,"Centrum, Nygatan",am,0.7459
9021302000332000,Nåtö biologiska,9021302000608000,Övernäs skola,am,0.7455
9021302000621000,Övernäsgården,9021302000662000,"Centrum, Nygatan",am,0.7377
9021302000117000,Geta centrum,9021302000123000,Godbyhallen vsk.,am,0.7346
9021302000266000,Labbnäs,9021302000123000,Godbyhallen vsk.,am,0.7311
9021302000017000,Bergö/Idskärsvägen vsk.,9021302000659000,Norragatan,am,0.7122
9021302000588000,Öjvägen vsk.,9021302000189000,Jomala skola,am,0.708
9021302000585000,Ödkarby,9021302000121000,Godby högstadium,am,0.7077
9021302000095000,Finströms kyrka,9021302000123000,Godbyhallen vsk.,am,0.7069
9021302000564000,Ytternäs skola,9021302000662000,"Centrum, Nygatan",am,0.7029
9021302000097000,Skrakvägen,9021302000608000,Övernäs skola,am,0.6914
9021302000630000,Kalmarnäs vändplan,9021302000662000,"Centrum, Nygatan",am,0.6912
9021302000662000,"Centrum, Nygatan",9021302000429000,Torget,am,0.6836
9021302000133000,Granholm,9021302000608000,Övernäs skola,am,0.681
9021302000662000,"Centrum, Nygatan",9021302000679000,Polishuset,am,0.6767
9021302000427000,Sportkila,9021302000308000,"Mariehamn, Bussplan",am,0.6753
