stop_area_gid,area_name,lon,lat
9021302000001000,4H-gården,19.98212,60.180685
9021302000003000,Amalia,20.197582,60.076598
9021302000005000,Apalnäsvägen vsk.,20.01202,60.108835
9021302000007000,Baltic,20.101858,60.036702
9021302000009000,Bamböle,19.857974,60.228255
9021302000011000,Bartsgårda,19.956685,60.280489
9021302000013000,Bartsgårda vsk.,19.952022,60.279405
9021302000015000,Bengtsböle,20.111775,60.069028
9021302000017000,Bergö/Idskärsvägen vsk.,19.978267,60.03026
9021302000019000,Bistorpsvägen vsk.,20.122119,60.070952
9021302000021000,Bjärström,19.858683,60.212613
9021302000023000,Björkliden,19.696851,60.22449
9021302000025000,Björknäs,19.925352,60.323839
9021302000027000,Björkslingan,19.950782,60.186155
9021302000029000,Björkuddsvägen vsk.,20.018877,60.094459
9021302000031000,Björkängsvägen vsk.,19.978258,60.214448
9021302000033000,Björsby,19.963935,60.18527
9021302000035000,Bo-Bil,19.942118,60.127968
9021302000037000,Boda vsk.,19.812407,60.19452
9021302000039000,Bolstaholms vsk.,19.892995,60.37331
9021302000041000,Bomarsunds fästning,20.240645,60.21222
9021302000043000,Breidablick,19.910896,60.251592
9021302000045000,Brinkbacken,19.635075,60.214429
9021302000047000,Brobacka vsk.,19.956341,60.200724
9021302000049000,Brokärrsvägen vsk.,20.059941,60.242081
9021302000052000,Brändövägen vsk.,19.877951,60.115898
9021302000054000,Byttbölevägen vsk.,19.820375,60.195496
9021302000056000,Bäckäng,20.165001,60.073939
9021302000058000,Böle vsk.,19.590528,60.225366
9021302000060000,Chipsfabriken,20.053211,60.244244
9021302000062000,Daglösa,19.993679,60.350684
9021302000064000,Dalkarbyvägen vsk.,19.939102,60.135944
9021302000066000,Degerby,20.385726,60.032131
9021302000067000,Degersandsvägen vsk.,19.595068,60.181996
9021302000069000,Djäkenböle,19.791311,60.194682
9021302000071000,Doppingvägen,19.942229,60.080017
9021302000073000,Drygsböle,19.783613,60.182175
9021302000075000,Eckerö färjterminal,19.538434,60.224613
9021302000076000,Eckerö golf,19.602075,60.217335
9021302000078000,Eckerö Hotell,19.552916,60.226346
9021302000080000,Eckerö kyrka,19.612101,60.212995
9021302000083000,Eckerö posthus vsk.,19.544022,60.221607
9021302000087000,Emkarby,19.876452,60.210549
9021302000089000,Emkarby daghem,19.88207,60.21103
9021302000091000,Espholm (Sleipner) vsk.,19.958966,60.066703
9021302000093000,Finby vsk.,20.170004,60.223553
9021302000095000,Finströms kyrka,19.936239,60.262235
9021302000097000,Skrakvägen,19.943279,60.077626
9021302000101000,Fjärilsgatan vsk.,19.5647,60.21992
9021302000103000,Folkhögskolan,19.923388,60.258637
9021302000105000,Folkhögskolan vsk.,19.916177,60.258822
9021302000107000,Frebbenby,19.710494,60.218616
9021302000109000,Fremmanby,20.061465,60.269792
9021302000111000,Furuholmen vsk.,19.899292,60.371634
9021302000113000,Färjsundsbron,20.020252,60.239873
9021302000115000,GE-huset,19.938731,60.097763
9021302000117000,Geta centrum,19.846925,60.374649
9021302000118000,Godby centrum,19.988838,60.23039
9021302000120000,Godby Hotell,19.995555,60.23227
9021302000121000,Godby högstadium,19.976049,60.223842
9021302000123000,Godbyhallen vsk.,19.981416,60.22348
9021302000125000,Godbyvägen 1285,19.979677,60.218164
9021302000127000,Gottby,19.842726,60.131867
9021302000129000,Gottby by,19.8208,60.129856
9021302000131000,Granboda,20.173317,60.075007
9021302000133000,Granholm,19.967865,60.055141
9021302000135000,Granö,19.989926,60.025525
9021302000137000,Granö vändplan,19.976438,60.016962
9021302000139000,Grelsby vsk.,19.976598,60.237587
9021302000141000,Gölby,19.946212,60.194053
9021302000143000,Gölby norra,19.950121,60.197317
9021302000145000,Haga Kungsgård,20.0031,60.30601
9021302000147000,Haga ringväg,20.013497,60.294666
9021302000148000,Hallonstigen,20.136516,60.016606
9021302000150000,"Hammarland, Torp",19.75718,60.155701
9021302000152000,Hamngatan vsk.,20.262073,60.078599
9021302000154000,Hamnsundsvägen vsk.,20.053843,60.311465
9021302000156000,Hamnterminalen,19.929278,60.092584
