Gid,Name,ShortName,Designation,LocalNumber,IsJourneyPatternPointGid,IsIncludedInStopAreaGid,TypeCode,ForAlightingYesNo,ForBoardingYesNo,OrientationDegrees,LengthMeters,LastModifiedUtcDateTime,ExistsFromDate,ExistsUptoDate,CoordinateSystemName,CentroidNorthingCoordinate,CentroidEastingCoordinate,lon,lat
9022302000105001,Folkhögskolan vsk.,,A,1,9025302000010501,9021302000105000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.258822,19.916177,19.916177,60.258822
9022302000111002,Furuholmen vsk.,,B,2,9025302000011102,9021302000111000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.371634,19.899292,19.899292,60.371634
9022302000154002,Hamnsundsvägen vsk.,,B,2,9025302000015402,9021302000154000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.311465,20.053843,20.053843,60.311465
9022302000161002,Havsvidden vsk.,,B,2,9025302000016102,9021302000161000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.367676,19.91424,19.91424,60.367676
9022302000181002,Industrivägen vsk.,,B,2,9025302000018102,9021302000181000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.234497,19.981244,19.981244,60.234497
9022302000228001,Kottestigen vsk.,,A,1,9025302000022801,9021302000228000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.275113,20.389893,20.389893,60.275113
9022302000238002,Kullagatan vsk.,,B,2,9025302000023802,9021302000238000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.264448,20.059039,20.059039,60.264448
9022302000249001,Kungstensvägen vsk.,,A,1,9025302000024901,9021302000249000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.254522,19.951905,19.951905,60.254522
9022302000253001,Kungsövägen vsk.,,A,1,9025302000025301,9021302000253000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.11854,19.868641,19.868641,60.11854
9022302000269001,Lafsbölevägen vsk.,,A,1,9025302000026901,9021302000269000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.289849,20.064462,20.064462,60.289849
